# offset offset_z sigma_0 sigma_z logc Blambda corr_len A_0 A_1 A_2 A_3 A_4 A_5 A_6 A_7 A_8 A_9 A_10 A_inf
1.129165763602833217e-01 -1.639646533887598179e-01 1.793533713054359102e-01 1.900217107223036717e-01 -3.101182646883493543e-02 5.746058842874028905e-01 9.442397929685365787e-02 -4.057430704056415038e-01 4.460730239672807684e-01 9.877903173268700598e-01 1.238347850972178144e+00 -7.178175291144457404e-01 1.383534293927137782e-01 2.824237682462693577e+00 -2.440015600391642892e-01 3.410026548379434530e-01 1.924374104110176731e+00 2.749978611639569692e+00 -4.475768965403776001e+00
1.130223854505447711e-01 -1.833958355780357374e-01 1.739358056351312243e-01 1.804794100619004915e-01 -1.835951755735107938e-01 5.693223108623715056e-01 8.168853440978370017e-02 6.774934215642458568e-01 -6.022813467264311882e-01 -7.049179573378694386e-02 1.879042661914096968e+00 -2.678802404799486503e+00 1.019258955486036733e+00 1.233339256544706330e+00 9.097987548723018847e-02 -1.055706168998549188e-01 1.356190603260936989e+00 3.298076920756551900e+00 -3.129988541415690051e+00
1.205479886943802148e-01 -1.887183594179433488e-01 1.770788605945664840e-01 1.543690776391448694e-01 -1.052737425388332593e-01 5.720101945592732662e-01 9.526532842594104267e-02 -3.643233700863293123e-01 -1.159063486349873884e-01 -1.598232819623861545e-01 1.696188413936794426e+00 -1.682692149171204576e+00 -7.172310062483964188e-01 2.588395767456200147e+00 -2.454184773632359651e-01 -1.237606299230576745e+00 2.117988314646662928e+00 3.251262653642761791e+00 -2.995370742704430711e+00
1.165485602768270290e-01 -1.443587287953336240e-01 1.715597674503575587e-01 1.906631957270159550e-01 -6.912982546713442034e-02 6.016454543998084326e-01 9.026284833253744866e-02 6.714692088718399177e-01 2.737877584623893412e-01 8.285930114842106065e-01 1.768738754393925028e+00 -8.097072848630855191e-01 2.712332019284637852e-01 2.924082454223862371e+00 2.912358508542034485e-02 8.028324182773189932e-01 1.753820660597376069e+00 2.860047730291813473e+00 -4.882967005321967591e+00
1.195750545749859339e-01 -1.736995663129050071e-01 1.767332073476270415e-01 1.575266943466998582e-01 -5.022597765135217163e-02 6.710952873807252139e-01 8.799963788094278261e-02 -4.907153120950979996e-01 -4.530509900443977500e-01 1.343679453166819471e+00 1.101203942382045220e+00 -1.750080049955564654e+00 8.947373912388574269e-01 1.974581820834004908e+00 -4.467458718649641725e-02 -3.408620936293607073e-01 3.262481286021888138e+00 1.136764279771343311e+00 -3.848515213669752466e+00
1.092378755427004244e-01 -1.468499507571825458e-01 1.699465896009867416e-01 1.917470945054471354e-01 -2.062979597666695364e-01 5.919313067286280372e-01 8.441241560990939141e-02 2.880117784880784626e-01 -3.334034347777388163e-01 1.801500180959713759e+00 5.672414361123214732e-01 -2.927819886823677109e-01 4.241353311217750388e-01 2.279809357719867258e+00 2.235766442434243828e-01 8.759870815358343776e-01 1.380785573159264423e+00 3.962986104014330380e+00 -4.533595822759267868e+00
1.213832714592641970e-01 -1.856519630680057986e-01 1.783528987213143513e-01 1.724702335324116431e-01 -1.040514449298234334e-01 5.509034388858000675e-01 9.522052875359138246e-02 -1.055824576849301089e+00 -6.048668594912900431e-01 4.088044033722004755e-01 7.317567700074070203e-01 -2.572940451969721209e+00 5.688502091934299898e-02 1.581410931850769863e+00 -3.754416032811942472e-01 -9.789183806496852824e-01 8.663291101144316997e-01 1.892304508542612673e+00 -2.112706024621706646e+00
1.287905440918054312e-01 -1.974193350700816918e-01 1.809030392706778845e-01 1.476205171565371232e-01 -5.257314568399784616e-02 6.438128194143275529e-01 8.314018055863264811e-02 6.551396023039037786e-01 -6.709674353033507899e-01 -1.201220158053057929e-01 1.631441746096951917e+00 -2.001471792520950643e+00 -2.488037212553617650e-02 2.224052434192075545e+00 -4.692217575871424629e-01 -6.830635645558311708e-01 2.493487567550673134e+00 1.282580564491277109e+00 -2.923357347588320110e+00
1.224442005159445956e-01 -1.753905913275737860e-01 1.745622582158432856e-01 1.648230905683032432e-01 -6.710959637770030906e-02 5.549842145292145368e-01 8.763777724681789949e-02 2.505243131515069166e-01 -3.757822703217232885e-01 1.807927499880701561e+00 2.887601127595109674e-01 -1.226539540384870008e-01 -3.767883739367814400e-01 2.773353970207068642e+00 5.745263919103837935e-01 -1.201063031623255561e+00 3.019023038503046763e+00 2.420236591468097664e+00 -4.187797483668527221e+00
1.286356247147456833e-01 -1.972660485254299489e-01 1.809181594216687228e-01 1.459125322762194754e-01 -1.255270135602549741e-01 5.851348517434629137e-01 8.293670560927285385e-02 1.158074218608415862e-01 -5.929884069648991840e-01 6.757699512829304922e-01 1.084649272685798138e+00 -1.841781543312448477e+00 9.200944154147112641e-01 1.296253045967620920e+00 5.668683855716025732e-01 -8.203447301018593762e-01 3.114006407341614491e+00 1.389021428139864511e+00 -3.326789273132425784e+00
