# alpha_SZ_0 SZ_comp0_0 SZ_comp1_0 kappa_SPT alpha_opt_0 opt_comp0_0 opt_comp1_0 alpha_SZ_z alpha_SZ_lam SZ_comp0_z SZ_comp0_lam SZ_comp1_z SZ_comp1_lam alpha_opt_z alpha_opt_lam opt_comp0_z opt_comp0_lam opt_comp1_z opt_comp1_lam alpha_X_0 alpha_X_z alpha_X_lam X_comp0_0 X_comp0_z X_comp0_lam X_comp1_0 X_comp1_z X_comp1_lam
7.1677e-01 8.5868e-03 1.1679e-01 8.2466e-01 9.6596e-01 1.8307e-03 1.4928e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9.6939e-01 9.4123e-03 1.6009e-02 1.1194e+00 7.6904e-01 6.0057e-03 1.4127e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9.0782e-01 2.4279e-04 1.5812e-01 9.7788e-01 7.4139e-01 5.9587e-03 2.7966e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9.4530e-01 9.6764e-03 6.6410e-02 1.3192e+00 8.5570e-01 5.0478e-03 1.4871e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.3212e-01 2.0992e-02 1.3910e-01 7.1719e-01 9.6284e-01 5.6383e-03 1.1413e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.8445e-01 2.3346e-02 1.3197e-01 8.2039e-01 9.0025e-01 3.9633e-03 1.2515e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7.1725e-01 9.5433e-03 1.2231e-01 7.0092e-01 9.4088e-01 1.1988e-02 3.1774e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7.1173e-01 7.8790e-04 7.0914e-02 8.8335e-01 8.3380e-01 4.1104e-03 1.1975e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.2043e-01 1.5296e-02 1.2325e-01 1.1026e+00 9.6895e-01 1.5968e-02 1.0784e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9.6417e-01 1.8795e-02 4.7253e-02 9.5881e-01 7.8351e-01 4.4437e-03 1.1130e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.4042e-01 8.0492e-03 1.1220e-01 9.7469e-01 5.6625e-01 3.7538e-03 3.3165e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9.3225e-01 1.0367e-02 1.4234e-01 7.1516e-01 8.2808e-01 1.5149e-02 6.7246e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.4368e-01 9.7029e-03 2.3853e-02 1.0606e+00 8.6988e-01 1.1023e-02 1.5042e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7.6602e-01 5.2773e-03 8.2370e-02 7.0386e-01 8.6739e-01 8.3024e-03 1.5945e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9.3929e-01 9.5020e-03 2.1372e-01 7.6467e-01 8.4263e-01 3.8834e-03 1.1308e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.9546e-01 7.9600e-03 1.5790e-01 1.1178e+00 9.0145e-01 1.8701e-02 7.3043e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.9962e-01 4.8513e-04 3.2995e-02 8.5743e-01 8.9506e-01 1.5138e-02 1.3539e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9.1259e-01 1.7046e-03 2.0924e-01 9.3381e-01 8.9055e-01 2.5827e-03 9.9622e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7.5174e-01 1.5397e-02 9.6395e-02 9.1681e-01 9.7149e-01 4.1669e-03 6.3497e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7.5696e-01 2.6154e-03 1.1915e-01 8.7229e-01 9.4004e-01 3.4617e-03 1.8334e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9.4885e-01 1.5273e-02 1.6402e-01 9.6486e-01 7.2895e-01 3.2163e-04 8.4575e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7.9311e-01 8.1993e-04 1.1963e-01 1.0796e+00 9.2222e-01 5.2953e-03 1.6477e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.1265e-01 2.4139e-03 1.1980e-01 8.0864e-01 9.8553e-01 1.8684e-03 3.8795e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6.1471e-01 1.6590e-02 8.3162e-03 7.1025e-01 7.6090e-01 3.3041e-03 1.3750e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9.7727e-01 3.7260e-03 4.5404e-02 4.7542e-01 7.7771e-01 1.9205e-03 1.3194e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.2129e-01 1.3669e-02 1.0350e-01 5.4432e-01 9.4333e-01 8.8602e-03 1.0636e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7.3020e-01 9.2421e-03 1.1035e-01 4.9024e-01 7.8781e-01 5.3971e-03 1.7856e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9.0707e-01 2.0008e-03 2.0007e-01 1.0377e+00 9.0369e-01 2.9493e-03 1.1240e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.6485e-01 1.2655e-02 2.2248e-02 5.8863e-01 8.4471e-01 1.4583e-02 1.2688e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8.0220e-01 1.6420e-02 1.4074e-01 7.8174e-01 7.6995e-01 7.3340e-03 1.6870e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
